W1;W2;RENUM;UMUR
417;289635;5356;7
417;260192;5368;12
417;184509;5347;1
417;176583;5359;13
417;176583;5359;11
417;176583;5359;7
417;147839;5353;14
417;147839;5353;5
417;58192;5365;8
417;47828;5344;16
417;47828;5344;7
418;256127;190817;11
418;242275;190835;8
418;184511;190826;10
418;184511;190826;7
418;184511;190826;0
418;179604;190832;12
418;179604;190832;5
418;149791;190838;0
418;8062;190841;7
418;8062;190841;14
418;8062;190841;0
418;3634;190823;0
418;416;190844;11
418;416;190844;0
419;247171;158315;10
419;224991;158309;5
419;184517;158312;0
419;88843;158303;16
419;85605;158321;15
1395;274558;185148;16
1395;202789;185166;2
1395;194048;185154;1
1395;154738;185175;17
1395;154738;185175;10
1395;35507;185172;4
1395;35506;185151;4
1395;12574;185157;1
1396;264956;20702;13
1396;231314;20690;6
1396;207624;20693;11
1396;207624;20693;9
1396;207624;20693;2
1396;194054;20699;9
1396;194054;20699;1
1396;184518;20711;5
1396;184518;20711;0
1396;176482;20717;16
1396;176482;20717;11
1396;67292;20705;11
1396;53205;20708;8
1396;20925;20696;2
1396;20925;20696;2
2298;202785;111442;11
2298;202785;111442;2
2298;92152;111451;17
2298;47829;111448;15
2298;47829;111448;6
2298;41851;111445;12
2298;41851;111445;5
2298;28685;111424;9
2298;28685;111424;3
2298;28684;111436;11
2298;28684;111436;3
2298;28683;111433;15
2298;28683;111433;9
2298;28683;111433;3
3097;267679;260606;14
3097;267679;260606;14
3097;247168;260594;14
3097;247168;260594;9
3097;231303;260603;6
3097;218148;260579;13
3097;218148;260579;4
3097;210798;260585;14
3097;210798;260585;4
3097;78924;260600;9
3097;78924;260600;13
3097;12573;260597;11
3097;12573;260597;1
3098;267682;257242;14
3098;260196;257248;13
3098;256129;257239;11
3098;237103;257251;7
3098;210803;257230;3
3098;194050;257254;9
3098;194050;257254;1
3098;188547;257245;0
3098;177242;257233;4
3098;53200;257236;7
3511;277984;263114;17
3511;277983;263093;17
3511;264096;263099;13
3511;214586;263120;3
3511;92150;263102;17
3844;237100;190853;7
3844;218150;190865;16
3844;218150;190865;9
3844;218150;190865;5
3844;202788;190871;11
3844;202788;190871;2
3844;202787;190868;8
3844;202787;190868;2
3844;71316;190859;11
3844;41852;190847;5
3845;256132;214695;11
3845;251769;214677;11
3845;218153;214680;12
3845;218153;214680;4
3845;179271;214683;7
3845;179271;214683;1
3845;41857;214701;14
3845;41857;214701;7
3845;41857;214701;5
3845;28691;214698;3
3845;531;214689;0
4496;242274;111454;17
4496;242274;111454;8
4496;231304;111478;11
4496;231304;111478;10
4496;231304;111478;6
4496;224808;111457;15
4496;224808;111457;14
4496;224808;111457;11
4496;224808;111457;5
4496;217979;111460;7
4496;217979;111460;4
4496;78926;111481;14
4496;75196;111475;16
4496;75196;111475;12
4496;3633;111463;17
4496;3633;111463;7
4496;3633;111463;0
4499;315866;214725;13
4499;315866;214725;1
4499;264098;214716;13
4499;251770;214728;10
4499;224819;214719;5
4499;218154;214704;5
4499;194051;214707;7
4499;194051;214707;1
4499;92157;214713;17
4499;47835;214731;6
4510;247170;158330;14
4510;247170;158330;9
4510;224990;158345;5
4510;210806;158333;12
4510;210806;158333;3
4510;181228;158342;5
4510;181228;158342;0
4510;28693;158339;16
4510;28693;158339;14
4510;28693;158339;3
5158;274559;309760;16
5158;231307;309761;6
5158;206720;309755;2
5158;170001;309757;11
5158;161435;309759;7
5158;148986;309762;1
5158;75201;309756;17
5158;75201;309756;12
5158;7155;309758;17
5158;7155;309758;14
5158;7155;309758;4
5158;7155;309758;0
5159;274562;20741;17
5159;231315;20747;7
5159;224993;20732;5
5159;202794;20723;2
5159;163644;20726;2
5159;82375;20738;14
5159;625;20729;0
5735;260193;5395;13
5735;237097;5398;7
5735;237095;5383;8
5735;218146;5377;10
5735;218146;5377;4
5735;207469;5392;9
5735;207469;5392;2
5735;58191;5389;8
5735;7152;5371;0
5736;237099;111508;12
5736;237099;111508;7
5736;237098;111511;7
5736;184510;111484;5
5736;184510;111484;1
5736;164411;111490;11
5736;164411;111490;1
5736;78927;111493;13
5736;71317;111499;11
5736;7668;111502;7
5736;7668;111502;0
6262;300258;185181;9
6262;271222;185187;15
6262;242277;185199;8
6262;210802;185205;12
6262;210802;185205;7
6262;210802;185205;3
6262;88840;185196;16
6263;242279;193065;9
6263;242278;193071;8
6263;237106;193068;7
6263;178407;193062;12
6263;178407;193062;1
6263;173266;193083;5
6263;143766;193077;6
6263;143766;193077;5
6263;88841;193074;17
6263;21009;193080;2
6264;251772;50925;11
6264;242282;50919;8
6264;242281;50940;8
6264;231310;50916;7
6264;231308;50937;6
6264;218156;50934;5
6264;218155;50922;5
6264;75206;50928;12
6264;12580;50943;11
6264;12580;50943;1
7161;251767;257281;10
7161;202790;257260;2
7161;194049;257263;12
7161;194049;257263;1
7161;184514;257269;1
7161;163355;257275;14
7161;148170;257272;7
7161;148170;257272;5
7161;148170;257272;2
7161;47832;257278;6
7161;22531;257266;2
7608;277985;309764;17
7608;271224;309765;15
7608;256130;309768;12
7608;75200;309767;12
7608;63028;309772;9
7609;325713;214740;17
7609;271225;214746;15
7609;260199;214743;12
7609;256137;214737;11
7609;256131;214752;12
7609;199327;214755;8
7609;199327;214755;3
7609;199327;214755;1
7609;184515;214734;15
7609;184515;214734;0
7609;88842;214758;16
7609;53203;214749;14
7609;53203;214749;7
7999;260198;214785;17
7999;260198;214785;12
7999;41856;214788;16
7999;41856;214788;5
9150;295438;190901;16
9150;274555;190880;16
9150;271221;190895;15
9150;260195;190898;13
9150;256126;190892;11
9150;181653;190889;0
9150;128364;190883;9
9150;128364;190883;4
9151;302835;257296;11
9151;271223;257314;15
9151;251766;257305;10
9151;148844;257302;10
9151;125407;257290;1
9151;78928;257311;13
9151;71320;257287;11
9151;67284;257299;10
10569;256135;115977;0
10569;256135;115977;11
